email_id,subject,body,category,module,priority,multi_intent
RES_001,Lecture Slides - Week 6 KV5002,"Dear Dr Smith,

I noticed that the lecture slides for Week 6 of KV5002 haven't been uploaded to Blackboard yet. Could you let me know when they'll be available? I'd like to review them before next week's session.

Thank you,
Emily Chen",resources,KV5002,low,FALSE
RES_002,cant access blackboard,"hi

blackboard isnt letting me into the kv4006 module page. it says i dont have access but im definitely enrolled. can u sort this out or do i need to contact IT??

its been like this for 3 days now and im missing stuff

cheers
jake",resources,KV4006,high,FALSE
RES_003,Recommended Reading for Literature Review,"Dear Dr Smith,

I'm working on the literature review for my KV6003 project and I'm struggling to find enough quality sources on email classification using NLP. Could you recommend any key papers or textbooks I should be looking at?

I've already found a few through the library but I feel like I'm missing some foundational work.

Kind regards,
Olivia Hughes",resources,KV6003,medium,FALSE
RES_004,recording of last lecture,"hi dr smith

i was ill last week and missed the kv5002 lecture on software testing. is there a recording on panopto?? i cant find it anywhere on blackboard

thx
ryan",resources,KV5002,medium,FALSE
RES_005,Software Installation Help - Python,"Dear Dr Smith,

I'm trying to install Python and Jupyter Notebook on my personal laptop for KV6003 but I'm running into errors. I followed the instructions on Blackboard but the Anaconda installer keeps failing. Are there alternative installation instructions or could you point me to a guide?

Also, is there a specific version of Python we need to be using for the module?

Thanks,
Fatima Al-Rashid",resources,KV6003,medium,TRUE
RES_006,where is the module handbook,"hi

where can i find the module handbook for kv5002?? someone said its on blackboard but i genuinely cant see it. ive looked in every folder

pls help
megan",resources,KV5002,low,FALSE
RES_007,GitHub Classroom Access,"Dear Dr Smith,

I'm trying to access the GitHub Classroom repository for KV5002 but the invite link from Blackboard gives me a 404 error. I've tried on both Chrome and Firefox. My GitHub username is dkim_dev22.

Could you resend the invite or check if there's an issue with the link?

Regards,
David Kim",resources,KV5002,high,FALSE
RES_008,past exam papers kv4006,"hi

are there any past exam papers for kv4006 available anywhere?? ive checked the library and the module page but cant find any. would be really helpful for revision

ta
ben",resources,KV4006,low,FALSE
RES_009,Database Software for KV4006,"Dear Dr Smith,

In the last lecture you mentioned we'd need MySQL Workbench for the practical sessions. Is this available on the university lab computers or do we need to install it ourselves? If we need to install it, is there a student licence or should we use the community edition?

Thank you,
Priya Patel",resources,KV4006,medium,FALSE
RES_010,CANT FIND ANYTHING ON BLACKBOARD,"HI DR SMITH

I CANT FIND ANY OF THE RESOURCES FOR KV6003 ON BLACKBOARD. THE MODULE PAGE JUST HAS THE ASSIGNMENT BRIEF AND NOTHING ELSE. WHERE ARE THE LECTURE SLIDES AND THE READING LIST AND THE PROJECT GUIDELINES??

AM I LOOKING IN THE WRONG PLACE??

MICHAEL",resources,KV6003,medium,FALSE
