subject,body,subject_masked,body_masked,subject_clean,body_clean,text_clean
KV6003 Assignment 2 Deadline,"Dear Dr Smith,

I hope this email finds you well. I am writing to enquire about the deadline for Assignment 2 in KV6003. I have checked Blackboard but I can only see the brief and not a confirmed submission date. Could you please clarify when this is due?

Thank you for your time.

Kind regards,
Sarah Thompson",KV6003 Assignment 2 Deadline,"Dear Dr Smith,

I hope this email finds you well. I am writing to enquire about the deadline for Assignment 2 in KV6003. I have checked Blackboard but I can only see the brief and not a confirmed submission date. Could you please clarify when this is due?

[SIGN_OFF]

[SIGN_OFF]
[PERSON]",KV6003 Assignment 2 Deadline,"Dear Dr Smith, I hope this email finds you well. I am writing to enquire about the deadline for Assignment 2 in KV6003. I have checked Blackboard but I can only see the brief and not a confirmed submission date. Could you please clarify when this is due? [SIGN_OFF] [SIGN_OFF] [PERSON]","KV6003 Assignment 2 Deadline [SEP] Dear Dr Smith, I hope this email finds you well. I am writing to enquire about the deadline for Assignment 2 in KV6003. I have checked Blackboard but I can only see the brief and not a confirmed submission date. Could you please clarify when this is due? [SIGN_OFF] [SIGN_OFF] [PERSON]"
assignment help,"hi

just wondering when the assignment is due?? i think its next week but not sure lol

cheers",assignment help,"hi

just wondering when the assignment is due?? i think its next week but not sure lol

[SIGN_OFF]",assignment help,hi just wondering when the assignment is due?? i think its next week but not sure lol [SIGN_OFF],assignment help [SEP] hi just wondering when the assignment is due?? i think its next week but not sure lol [SIGN_OFF]
KV5002 Coursework Submission Query,"Dear Lecturer,

I wanted to check — do we submit the KV5002 coursework through Turnitin on Blackboard or is there a separate submission link? I remember you mentioned something in the lecture but I wasn't sure.

Also what is the file format? Can I submit a .zip or does it need to be a PDF?

Thanks,
James",KV5002 Coursework Submission Query,"Dear Lecturer,

I wanted to check — do we submit the KV5002 coursework through Turnitin on Blackboard or is there a separate submission link? I remember you mentioned something in the lecture but I wasn't sure.

Also what is the file format? Can I submit a .zip or does it need to be a PDF?

[SIGN_OFF]
James",KV5002 Coursework Submission Query,"Dear Lecturer, I wanted to check — do we submit the KV5002 coursework through Turnitin on Blackboard or is there a separate submission link? I remember you mentioned something in the lecture but I wasn't sure. Also what is the file format? Can I submit a .zip or does it need to be a PDF? [SIGN_OFF] James","KV5002 Coursework Submission Query [SEP] Dear Lecturer, I wanted to check — do we submit the KV5002 coursework through Turnitin on Blackboard or is there a separate submission link? I remember you mentioned something in the lecture but I wasn't sure. Also what is the file format? Can I submit a .zip or does it need to be a PDF? [SIGN_OFF] James"
URGENT - Extension Needed for Assignment,"Hi,

I'm really struggling with the KV6003 assignment and I don't think I'll be able to submit on time. I've been working on it but I've had issues with my laptop breaking and I lost some of my work. Is there any way I can get an extension? Even a couple of days would help.

Sorry for the late notice.

Thanks,
Amir Hussain",URGENT - Extension Needed for Assignment,"Hi,

I'm really struggling with the KV6003 assignment and I don't think I'll be able to submit on time. I've been working on it but I've had issues with my laptop breaking and I lost some of my work. Is there any way I can get an extension? Even a couple of days would help.

Sorry for the late notice.

[SIGN_OFF]
[PERSON]",URGENT - Extension Needed for Assignment,"Hi, I'm really struggling with the KV6003 assignment and I don't think I'll be able to submit on time. I've been working on it but I've had issues with my laptop breaking and I lost some of my work. Is there any way I can get an extension? Even a couple of days would help. Sorry for the late notice. [SIGN_OFF] [PERSON]","URGENT - Extension Needed for Assignment [SEP] Hi, I'm really struggling with the KV6003 assignment and I don't think I'll be able to submit on time. I've been working on it but I've had issues with my laptop breaking and I lost some of my work. Is there any way I can get an extension? Even a couple of days would help. Sorry for the late notice. [SIGN_OFF] [PERSON]"
Re: Assignment 2,"hi miss

sorry to bother u again but i still dont understand what we need to do for section 3 of the assignment. i looked at the brief but its confusing. can u explain it simpler pls

thx
jake",Re: Assignment 2,"hi miss

sorry to bother u again but i still dont understand what we need to do for section 3 of the assignment. i looked at the brief but its confusing. can u explain it simpler pls

[SIGN_OFF]
jake",Re: Assignment 2,hi miss sorry to bother u again but i still dont understand what we need to do for section 3 of the assignment. i looked at the brief but its confusing. can u explain it simpler pls [SIGN_OFF] jake,Re: Assignment 2 [SEP] hi miss sorry to bother u again but i still dont understand what we need to do for section 3 of the assignment. i looked at the brief but its confusing. can u explain it simpler pls [SIGN_OFF] jake
Resit Information KV4006,"Dear Dr Smith,

I unfortunately failed the KV4006 databases module last semester. Could you provide information on the resit process? Specifically:

1. When is the resit submission deadline?
2. Is it the same assignment brief or a new one?
3. Do I need to re-register for the module?

I would appreciate any guidance you can offer.

Best regards,
Priya Patel",Resit Information KV4006,"Dear Dr Smith,

I unfortunately failed the KV4006 databases module last semester. Could you provide information on the resit process? Specifically:

1. When is the resit submission deadline?
2. Is it the same assignment brief or a new one?
3. Do I need to re-register for the module?

I would appreciate any guidance you can offer.

Best regards,
[PERSON]",Resit Information KV4006,"Dear Dr Smith, I unfortunately failed the KV4006 databases module last semester. Could you provide information on the resit process? Specifically: 1. When is the resit submission deadline? 2. Is it the same assignment brief or a new one? 3. Do I need to re-register for the module? I would appreciate any guidance you can offer. Best regards, [PERSON]","Resit Information KV4006 [SEP] Dear Dr Smith, I unfortunately failed the KV4006 databases module last semester. Could you provide information on the resit process? Specifically: 1. When is the resit submission deadline? 2. Is it the same assignment brief or a new one? 3. Do I need to re-register for the module? I would appreciate any guidance you can offer. Best regards, [PERSON]"
word count???,"does the 3000 word count include references and appendices or not?? need to know asap as im nearly done

ty",word count???,"does the 3000 word count include references and appendices or not?? need to know asap as im nearly done

[SIGN_OFF]",word count???,does the 3000 word count include references and appendices or not?? need to know asap as im nearly done [SIGN_OFF],word count??? [SEP] does the 3000 word count include references and appendices or not?? need to know asap as im nearly done [SIGN_OFF]
KV5002 Assignment Feedback Request and Deadline Query,"Good afternoon,

I was wondering whether feedback for Assignment 1 in KV5002 has been released yet? I submitted three weeks ago and haven't received anything on Turnitin.

Additionally, I wanted to confirm the deadline for Assignment 2 — is it still Week 12 Friday at 2pm?

Many thanks,
Emily Chen",KV5002 Assignment Feedback Request and Deadline Query,"Good afternoon,

I was wondering whether feedback for Assignment 1 in KV5002 has been released yet? I submitted three weeks ago and haven't received anything on Turnitin.

Additionally, I wanted to confirm the deadline for Assignment 2 — is it still Week 12 Friday at 2pm?

[SIGN_OFF]
[PERSON]",KV5002 Assignment Feedback Request and Deadline Query,"Good afternoon, I was wondering whether feedback for Assignment 1 in KV5002 has been released yet? I submitted three weeks ago and haven't received anything on Turnitin. Additionally, I wanted to confirm the deadline for Assignment 2 — is it still Week 12 Friday at 2pm? [SIGN_OFF] [PERSON]","KV5002 Assignment Feedback Request and Deadline Query [SEP] Good afternoon, I was wondering whether feedback for Assignment 1 in KV5002 has been released yet? I submitted three weeks ago and haven't received anything on Turnitin. Additionally, I wanted to confirm the deadline for Assignment 2 — is it still Week 12 Friday at 2pm? [SIGN_OFF] [PERSON]"
Plagiarism concern,"Dear Dr Smith,

I have a concern about my submission for KV6003. After submitting, my Turnitin similarity score came back at 34% and I'm worried this will be flagged as plagiarism. Most of the matches seem to be from the reference list and some common phrases. Should I be concerned? Is there someone I can speak to about this?

I'm quite anxious about it.

Regards,
Tom Wilson",Plagiarism concern,"Dear Dr Smith,

I have a concern about my submission for KV6003. After submitting, my Turnitin similarity score came back at 34% and I'm worried this will be flagged as plagiarism. Most of the matches seem to be from the reference list and some common phrases. Should I be concerned? Is there someone I can speak to about this?

I'm quite anxious about it.

[SIGN_OFF]
[PERSON]",Plagiarism concern,"Dear Dr Smith, I have a concern about my submission for KV6003. After submitting, my Turnitin similarity score came back at 34% and I'm worried this will be flagged as plagiarism. Most of the matches seem to be from the reference list and some common phrases. Should I be concerned? Is there someone I can speak to about this? I'm quite anxious about it. [SIGN_OFF] [PERSON]","Plagiarism concern [SEP] Dear Dr Smith, I have a concern about my submission for KV6003. After submitting, my Turnitin similarity score came back at 34% and I'm worried this will be flagged as plagiarism. Most of the matches seem to be from the reference list and some common phrases. Should I be concerned? Is there someone I can speak to about this? I'm quite anxious about it. [SIGN_OFF] [PERSON]"
can i change my topic,"hey

so ive been working on my kv6003 project and tbh i dont think my topic is working out. is it too late to change it?? i know we agreed on it in the meeting but ive realised i cant find enough literature

let me know
dan",can i change my topic,"hey

so ive been working on my kv6003 project and tbh i dont think my topic is working out. is it too late to change it?? i know we agreed on it in the meeting but ive realised i cant find enough literature

let me know
dan",can i change my topic,hey so ive been working on my kv6003 project and tbh i dont think my topic is working out. is it too late to change it?? i know we agreed on it in the meeting but ive realised i cant find enough literature let me know dan,can i change my topic [SEP] hey so ive been working on my kv6003 project and tbh i dont think my topic is working out. is it too late to change it?? i know we agreed on it in the meeting but ive realised i cant find enough literature let me know dan
