subject,body,subject_masked,body_masked,subject_clean,body_clean,text_clean,label_list,n_labels,y_admin,y_assessment,y_extenuating_circumstances,y_feedback,y_resources,y_timetabling,label_ids
Part-Time Student Timetabling Issue,"Dear Dr Smith,

I'm a part-time student on the KV5002 module. The timetable has all sessions scheduled during the daytime but I work full-time until 4pm. I understood there would be evening or flexible options available for part-time students.

Could you advise on whether there are alternative session times or if recordings are available?

Many thanks,
Nathan Brooks",Part-Time Student Timetabling Issue,"Dear Dr Smith,

I'm a part-time student on the KV5002 module. The timetable has all sessions scheduled during the daytime but I work full-time until 4pm. I understood there would be evening or flexible options available for part-time students.

Could you advise on whether there are alternative session times or if recordings are available?

[SIGN_OFF]
[PERSON]",Part-Time Student Timetabling Issue,"Dear Dr Smith, I'm a part-time student on the KV5002 module. The timetable has all sessions scheduled during the daytime but I work full-time until 4pm. I understood there would be evening or flexible options available for part-time students. Could you advise on whether there are alternative session times or if recordings are available? [SIGN_OFF] [PERSON]","Part-Time Student Timetabling Issue [SEP] Dear Dr Smith, I'm a part-time student on the KV5002 module. The timetable has all sessions scheduled during the daytime but I work full-time until 4pm. I understood there would be evening or flexible options available for part-time students. Could you advise on whether there are alternative session times or if recordings are available? [SIGN_OFF] [PERSON]",['timetabling'],1,0,0,0,0,0,1,[5]
Friday Lecture - KV4006,"Hi Dr Smith,

Sorry to add to what I'm sure is a pile of emails about this — is the KV4006 lecture still on this Friday? There's been confusion in the group chat and no announcement on Blackboard.

Cheers,
Tom",Friday Lecture - KV4006,"Hi [PERSON],

Sorry to add to what I'm sure is a pile of emails about this — is the KV4006 lecture still on this Friday? There's been confusion in the group chat and no announcement on Blackboard.

Cheers,
Tom",Friday Lecture - KV4006,"Hi [PERSON], Sorry to add to what I'm sure is a pile of emails about this — is the KV4006 lecture still on this Friday? There's been confusion in the group chat and no announcement on Blackboard. Cheers, Tom","Friday Lecture - KV4006 [SEP] Hi [PERSON], Sorry to add to what I'm sure is a pile of emails about this — is the KV4006 lecture still on this Friday? There's been confusion in the group chat and no announcement on Blackboard. Cheers, Tom",['timetabling'],1,0,0,0,0,0,1,[5]
Letter for Visa Application,"Dear Dr Smith,

I'm an international student and I need a letter confirming my enrolment and expected graduation date for my visa renewal application. The immigration office has requested this from my academic department.

Could you provide this or direct me to the right person? The deadline for my visa submission is in two weeks so this is quite time-sensitive.

Thank you very much,
Fatima Al-Rashid",Letter for Visa Application,"Dear Dr Smith,

I'm an international student and I need a letter confirming my enrolment and expected graduation date for my visa renewal application. The immigration office has requested this from my academic department.

Could you provide this or direct me to the right person? The deadline for my visa submission is in two weeks so this is quite time-sensitive.

Thank you very much,
[PERSON]",Letter for Visa Application,"Dear Dr Smith, I'm an international student and I need a letter confirming my enrolment and expected graduation date for my visa renewal application. The immigration office has requested this from my academic department. Could you provide this or direct me to the right person? The deadline for my visa submission is in two weeks so this is quite time-sensitive. Thank you very much, [PERSON]","Letter for Visa Application [SEP] Dear Dr Smith, I'm an international student and I need a letter confirming my enrolment and expected graduation date for my visa renewal application. The immigration office has requested this from my academic department. Could you provide this or direct me to the right person? The deadline for my visa submission is in two weeks so this is quite time-sensitive. Thank you very much, [PERSON]",['admin'],1,1,0,0,0,0,0,[0]
timetable is blank,"hi

my entire timetable is showing as blank on the student portal for this semester. i think its a glitch but i dont know what sessions i should be going to for kv4006 and kv5002. can u send me the times and rooms pls??

cheers
james",timetable is blank,"hi

my entire timetable is showing as blank on the student portal for this semester. i think its a glitch but i dont know what sessions i should be going to for kv4006 and kv5002. can u send me the times and rooms pls??

cheers
james",timetable is blank,hi my entire timetable is showing as blank on the student portal for this semester. i think its a glitch but i dont know what sessions i should be going to for kv4006 and kv5002. can u send me the times and rooms pls?? cheers james,timetable is blank [SEP] hi my entire timetable is showing as blank on the student portal for this semester. i think its a glitch but i dont know what sessions i should be going to for kv4006 and kv5002. can u send me the times and rooms pls?? cheers james,['timetabling'],1,0,0,0,0,0,1,[5]
Workshop Location - KV6003,"Dear Dr Smith,

The timetable lists a KV6003 workshop in 'CIS Lab 3' but I don't know where that is. I'm a first year in the Computing building — is it on the ground floor or the second floor?

Sorry for the basic question.

Thanks,
Fatima Al-Rashid",Workshop Location - KV6003,"Dear Dr Smith,

The timetable lists a KV6003 workshop in 'CIS Lab 3' but I don't know where that is. I'm a first year in the Computing building — is it on the ground floor or the second floor?

Sorry for the basic question.

[SIGN_OFF]
[PERSON]",Workshop Location - KV6003,"Dear Dr Smith, The timetable lists a KV6003 workshop in 'CIS Lab 3' but I don't know where that is. I'm a first year in the Computing building — is it on the ground floor or the second floor? Sorry for the basic question. [SIGN_OFF] [PERSON]","Workshop Location - KV6003 [SEP] Dear Dr Smith, The timetable lists a KV6003 workshop in 'CIS Lab 3' but I don't know where that is. I'm a first year in the Computing building — is it on the ground floor or the second floor? Sorry for the basic question. [SIGN_OFF] [PERSON]",['timetabling'],1,0,0,0,0,0,1,[5]
KV6003 Assignment 2 Deadline,"Dear Dr Smith,

I hope this email finds you well. I am writing to enquire about the deadline for Assignment 2 in KV6003. I have checked Blackboard but I can only see the brief and not a confirmed submission date. Could you please clarify when this is due?

Thank you for your time.

Kind regards,
Sarah Thompson",KV6003 Assignment 2 Deadline,"Dear Dr Smith,

I hope this email finds you well. I am writing to enquire about the deadline for Assignment 2 in KV6003. I have checked Blackboard but I can only see the brief and not a confirmed submission date. Could you please clarify when this is due?

Thank you for your time.

[SIGN_OFF]
[PERSON]",KV6003 Assignment 2 Deadline,"Dear Dr Smith, I hope this email finds you well. I am writing to enquire about the deadline for Assignment 2 in KV6003. I have checked Blackboard but I can only see the brief and not a confirmed submission date. Could you please clarify when this is due? Thank you for your time. [SIGN_OFF] [PERSON]","KV6003 Assignment 2 Deadline [SEP] Dear Dr Smith, I hope this email finds you well. I am writing to enquire about the deadline for Assignment 2 in KV6003. I have checked Blackboard but I can only see the brief and not a confirmed submission date. Could you please clarify when this is due? Thank you for your time. [SIGN_OFF] [PERSON]",['assessment'],1,0,1,0,0,0,0,[1]
Few Things About KV6003,"Dear Dr Smith,

I hope you're well. I have a few things I wanted to ask about KV6003:

1. Could you confirm the deadline for the final project submission? Blackboard says May 7th but the module handbook says May 6th.
2. I'm struggling to find relevant papers for my literature review — could you recommend any journals or databases I should be searching?
3. Are we allowed to use ChatGPT to help with debugging our code, and if so, how do we reference it?

Apologies for the long email but I wanted to get everything in one message rather than sending three separate ones.

Kind regards,
Olivia Hughes",Few Things About KV6003,"Dear Dr Smith,

I hope you're well. I have a few things I wanted to ask about KV6003:

1. Could you confirm the deadline for the final project submission? Blackboard says May 7th but the module handbook says May 6th.
2. I'm struggling to find relevant papers for my literature review — could you recommend any journals or databases I should be searching?
3. Are we allowed to use ChatGPT to help with debugging our code, and if so, how do we reference it?

Apologies for the long email but I wanted to get everything in one message rather than sending three separate ones.

[SIGN_OFF]
[PERSON]",Few Things About KV6003,"Dear Dr Smith, I hope you're well. I have a few things I wanted to ask about KV6003: 1. Could you confirm the deadline for the final project submission? Blackboard says May 7th but the module handbook says May 6th. 2. I'm struggling to find relevant papers for my literature review — could you recommend any journals or databases I should be searching? 3. Are we allowed to use ChatGPT to help with debugging our code, and if so, how do we reference it? Apologies for the long email but I wanted to get everything in one message rather than sending three separate ones. [SIGN_OFF] [PERSON]","Few Things About KV6003 [SEP] Dear Dr Smith, I hope you're well. I have a few things I wanted to ask about KV6003: 1. Could you confirm the deadline for the final project submission? Blackboard says May 7th but the module handbook says May 6th. 2. I'm struggling to find relevant papers for my literature review — could you recommend any journals or databases I should be searching? 3. Are we allowed to use ChatGPT to help with debugging our code, and if so, how do we reference it? Apologies for the long email but I wanted to get everything in one message rather than sending three separate ones. [SIGN_OFF] [PERSON]","['assessment', 'resources']",2,0,1,0,0,1,0,"[1, 4]"
feedback for group project,"hi dr smith

we got our group project mark back for kv5002 and its 58% but we dont know how the individual marks break down. like did everyone in the group get the same mark or was there individual weighting?? because some people did way more work than others

can u explain how it was marked

thx
dan",feedback for group project,"hi dr smith

we got our group project mark back for kv5002 and its 58% but we dont know how the individual marks break down. like did everyone in the group get the same mark or was there individual weighting?? because some people did way more work than others

can u explain how it was marked

thx
dan",feedback for group project,hi dr smith we got our group project mark back for kv5002 and its 58% but we dont know how the individual marks break down. like did everyone in the group get the same mark or was there individual weighting?? because some people did way more work than others can u explain how it was marked thx dan,feedback for group project [SEP] hi dr smith we got our group project mark back for kv5002 and its 58% but we dont know how the individual marks break down. like did everyone in the group get the same mark or was there individual weighting?? because some people did way more work than others can u explain how it was marked thx dan,['feedback'],1,0,0,0,1,0,0,[3]
Semester 2 Start Dates and KV5002 Schedule,"Dear Dr Smith,

Could you confirm when KV5002 teaching begins in Semester 2? The module handbook says Week 1 but the university academic calendar shows an induction week before that. I'm unsure which week is actually 'Week 1' for teaching purposes.

Additionally, are the session times the same as Semester 1?

Thank you for clarifying.

Regards,
Priya Patel",Semester 2 Start Dates and KV5002 Schedule,"Dear Dr Smith,

Could you confirm when KV5002 teaching begins in Semester 2? The module handbook says Week 1 but the university academic calendar shows an induction week before that. I'm unsure which week is actually 'Week 1' for teaching purposes.

Additionally, are the session times the same as Semester 1?

Thank you for clarifying.

[SIGN_OFF]
[PERSON]",Semester 2 Start Dates and KV5002 Schedule,"Dear Dr Smith, Could you confirm when KV5002 teaching begins in Semester 2? The module handbook says Week 1 but the university academic calendar shows an induction week before that. I'm unsure which week is actually 'Week 1' for teaching purposes. Additionally, are the session times the same as Semester 1? Thank you for clarifying. [SIGN_OFF] [PERSON]","Semester 2 Start Dates and KV5002 Schedule [SEP] Dear Dr Smith, Could you confirm when KV5002 teaching begins in Semester 2? The module handbook says Week 1 but the university academic calendar shows an induction week before that. I'm unsure which week is actually 'Week 1' for teaching purposes. Additionally, are the session times the same as Semester 1? Thank you for clarifying. [SIGN_OFF] [PERSON]",['timetabling'],1,0,0,0,0,0,1,[5]
late submission,"hi i submitted my kv4006 assignment 2 days late because i was ill. i didnt apply for extenuating circumstances because i didnt know i had to. is there anything i can do now or will i just get capped?

sorry
liam",late submission,"hi i submitted my kv4006 assignment 2 days late because i was ill. i didnt apply for extenuating circumstances because i didnt know i had to. is there anything i can do now or will i just get capped?

sorry
liam",late submission,hi i submitted my kv4006 assignment 2 days late because i was ill. i didnt apply for extenuating circumstances because i didnt know i had to. is there anything i can do now or will i just get capped? sorry liam,late submission [SEP] hi i submitted my kv4006 assignment 2 days late because i was ill. i didnt apply for extenuating circumstances because i didnt know i had to. is there anything i can do now or will i just get capped? sorry liam,['assessment'],1,0,1,0,0,0,0,[1]
